genus,lemma
n,Jahr
n,Mal
n,Beispiel
f,Zeit
f,Frau
m,Mensch
n,Deutsch
n,Kind
m,Tag
m,Mann
n,Land
f,Frage
n,Haus
m,Fall
f,Leute
f,Arbeit
n,Prozent
f,Hand
f,Stadt
m,Herr
m,Teil
n,Teil
n,Problem
f,Welt
n,Recht
n,Ende
f,Million
f,Schule
f,Woche
m,Vater
f,Seite
n,Leben
f,Mutter
m,Grund
n,Auge
n,Wort
n,Geld
f,Art
m,Bereich
m,Weg
f,Stunde
m,Name
f,Geschichte
f,Gesellschaft
m,Kopf
n,Paar
f,Möglichkeit
n,Unternehmen
n,Bild
n,Buch
n,Wasser
f,Stelle
f,Form
f,Entwicklung
m,Monat
f,Familie
m,Morgen
m,Abend
f,Aufgabe
f,Universität
m,Sinn
m,Staat
n,Ziel
m,Freund
n,Thema
f,Person
m,Euro
f,Nacht
n,Ding
m,Raum
m,Blick
m,Platz
f,Zahl
n,System
f,Uhr
f,Eltern
f,Straße
f,Minute
f,Gruppe
m,Wert
n,Gesicht
f,Sprache
m,Anfang
m,Ort
m,Moment
f,Folge
n,Interesse
f,Milliarde
f,Rolle
f,Tür
m,Schüler
f,Bedeutung
m,Text
n,Ergebnis
m,Krieg
f,Weise
f,Regierung
n,Stück
f,Wohnung
n,Gespräch
m,Meter
m,Punkt
f,Situation
m,Lehrer
m,Preis
f,Abbildung
m,Begriff
f,Funktion
m,Boden
n,Jahrhundert
m,Sohn
n,Werk
f,Stimme
m,Rahmen
f,Richtung
n,Programm
f,Angst
f,Information
f,Kunst
f,Musik
f,Politik
m,Beruf
f,Regel
m,Schritt
m,Absatz
m,Gott
n,Auto
f,Beziehung
f,Erfahrung
m,Tisch
f,Zukunft
n,Spiel
n,Gefühl
n,Licht
m,Präsident
m,Markt
f,Bank
f,Partei
f,Tochter
n,Verhältnis
f,Kirche
m,Film
m,Gedanke
m,Doktor
n,Mädchen
f,Entscheidung
m,Prozess
m,Betrieb
m,Zusammenhang
n,Gesetz
m,Arm
f,Firma
f,Kraft
m,Student
n,Zuhause
f,Chance
f,Zeitung
m,Erfolg
f,Grenze
m,Satz
n,Angebot
n,Internet
f,Kultur
f,Lage
f,Leistung
n,Mitglied
n,Projekt
n,Zimmer
m,Chef
m,Zug
m,Arzt
n,Auftreten
m,Fuß
m,Körper
f,Klasse
f,Lösung
n,Verhalten
f,Höhe
m,Junge
n,Fenster
f,Luft
f,Meinung
f,Idee
n,Produkt
n,Studium
m,Vergleich
n,Mittel
n,Modell
f,Natur
n,Bett
m,Kunde
m,Mitarbeiter
m,Tod
n,Geschäft
m,Spaß
f,Wirtschaft
n,Tier
f,Bewegung
m,Gast
f,Sicherheit
m,Einsatz
n,Gebiet
m,Dank
n,Dorf
m,Kollege
f,Angabe
m,Bruder
f,Verfügung
n,Fach
n,Herz
m,Kontakt
f,Menge
m,Sommer
m,Unterschied
m,Anspruch
f,Antwort
f,Verbindung
f,Vorstellung
f,Anwendung
n,Alter
f,Kosten
m,Patient
f,Polizei
n,Theater
f,Ausbildung
f,Gefahr
n,Gerät
m,Kilometer
f,Hilfe
m,Computer
m,Dollar
n,Verfahren
m,Vertrag
f,Maßnahme
f,Mitte
f,Ordnung
m,Stoff
m,Beginn
n,Glück
n,Wochenende
m,Professor
f,Reihe
m,Westen/West
f,Bevölkerung
n,Institut
m,Osten/Ost
f,Schwester
f,Erde
f,Ebene
f,Reise
f,Einheit
n,Haar
n,Lächeln
f,Nähe
n,Prinzip
m,Vorteil
f,Struktur
m,Autor
f,Bedingung
n,Risiko
f,Wahl
f,Wirkung
m,Brief
f,Größe
f,Medien
f,Macht
f,Untersuchung
f,Veränderung
f,Daten
m,Einfluss
f,Methode
f,Organisation
f,Liebe
f,Rede
m,Sport
m,Augenblick
f,Diskussion
f,Forderung
m,Kreis
f,Technik
m,Versuch
n,Schweigen
f,Krankheit
f,Schwierigkeit
f,Tätigkeit
f,Voraussetzung
m,Kampf
m,Künstler
f,Region
